# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2620 2620
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 40 880 238 202
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 296 624 883 523
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 566 354 1567 864
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 4 916 548 161
p 2 0 4 916 216 161
p 2 0 3 917 163 159
p 2 0 1 919 159 158
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 6 914 1296 165
p 2 0 6 914 275 163
p 2 0 4 916 169 161
p 2 0 1 919 161 158
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 1 919 158 158
p 2 0 2 918 161 158
p 2 0 1 919 159 158
p 2 0 0 920 157 157
p 2 0 1 919 159 158
p 2 0 4 916 166 161
p 2 0 0 920 157 157
p 2 0 1 919 158 158
p 2 0 0 920 157 157
p 2 0 2 918 160 159
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 2 918 163 159
p 2 0 2 918 162 159
p 2 0 2 918 161 159
p 2 0 0 920 157 157
p 2 0 2 918 162 159
p 2 0 1 919 159 158
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 1 919 160 158
p 2 0 1 919 158 158
p 2 0 1 919 159 158
p 2 0 1 919 159 158
p 2 0 1 919 159 158
p 2 0 1 919 158 158
p 2 0 1 919 160 158
p 2 0 1 919 159 158
p 2 0 6 914 173 162
p 2 0 4 916 169 160
p 2 0 14 906 1365 170
p 2 0 11 909 272 167
p 2 0 9 911 180 165
p 2 0 8 912 179 164
p 2 0 4 916 170 161
p 2 0 2 918 162 159
p 2 0 4 916 166 160
p 2 0 3 917 166 160
p 2 0 1 919 160 158
p 2 0 1 919 159 158
p 2 0 0 920 157 157
p 2 0 4 916 165 161
p 2 0 3 917 164 160
p 2 0 5 915 166 162
p 2 0 3 917 166 160
p 2 0 1 919 160 158
p 2 0 2 918 161 159
p 2 0 1 919 158 158
p 2 0 2 918 161 159
p 2 0 2 918 162 159
p 2 0 0 920 157 157
p 2 0 1 919 158 158
p 2 0 1 919 159 158
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 1 919 158 158
p 2 0 1 919 160 158
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 1 919 158 158
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 8 912 186 166
p 2 0 16 904 311 171
p 2 202 716 2 4585 1818
p 2 121 796 3 6163 1978
p 2 73 842 5 7411 2032
p 2 0 809 111 1256 987
p 2 46 871 3 8108 1781
p 2 28 892 0 8315 1966
p 2 23 892 5 8880 1826
p 2 15 905 0 8568 1909
p 2 0 758 162 1886 1040
p 2 8 909 3 8704 1735
p 2 13 906 1 9213 1596
p 2 10 910 0 9201 1729
p 2 15 904 1 10430 1626
p 2 0 868 52 2852 1212
p 2 8 910 2 10738 1653
p 2 52 868 0 12004 1914
p 2 56 864 0 13482 1927
p 2 40 880 0 12689 1912
p 2 0 712 208 2133 921
p 2 65 855 0 13340 1949
p 2 54 866 0 12875 1802
p 2 51 869 0 12834 1906
p 2 57 863 0 14035 1826
p 2 0 826 94 3040 1148
p 2 27 891 2 12294 1619
p 2 43 876 1 14354 1901
p 2 56 864 0 12793 1700
p 2 24 896 0 13045 1710
p 2 0 811 109 3406 1079
p 2 5 914 1 12360 1634
p 2 4 915 1 11732 1440
p 2 0 894 26 6372 1292
p 2 2 819 99 5665 1121
p 2 0 726 194 2603 946
p 2 0 903 17 11589 1431
p 2 44 815 61 11707 1575
p 2 47 857 16 14060 1726
p 2 48 836 36 13452 1645
p 2 0 739 181 2559 950
p 2 73 684 163 9802 1474
p 2 47 816 57 11236 1539
p 2 47 810 63 13307 1634
p 2 45 853 22 15280 1783
p 2 0 727 193 2650 969
p 2 27 772 121 10192 1394
p 2 51 766 103 10520 1483
p 2 56 734 130 8795 1391
p 2 26 798 96 9661 1333
p 2 0 657 263 2114 850
p 2 1 887 32 10456 1395
p 2 0 889 31 9413 1348
p 2 0 914 6 11511 1430
p 2 3 900 17 11347 1471
p 2 0 739 181 2815 976
p 2 0 862 58 9482 1359
p 2 50 860 10 8508 1509
p 2 45 784 91 10122 1492
p 2 48 862 10 12501 1691
p 2 0 713 207 2510 957
p 2 68 806 46 12140 1723
p 2 46 858 16 9849 1648
p 2 42 867 11 11456 1713
p 2 51 861 8 11729 1742
p 2 0 653 267 2042 875
p 2 29 843 48 11061 1626
p 2 58 684 178 8797 1422
p 2 57 788 75 10850 1631
p 2 27 870 23 9025 1461
p 2 0 673 247 2046 881
p 2 2 886 32 7446 1320
p 2 0 887 33 6851 1305
p 2 0 858 62 7382 1254
p 2 3 735 182 3473 1005
p 2 0 664 256 2061 869
p 2 0 896 24 7271 1275
p 2 44 833 43 8999 1503
p 2 43 868 9 11387 1614
p 2 45 865 10 11262 1623
p 2 0 593 327 1790 798
p 2 74 730 116 11383 1608
p 2 45 810 65 8808 1483
p 2 42 830 48 12050 1669
p 2 50 859 11 12533 1695
p 2 0 653 267 1951 863
p 2 31 859 30 9604 1581
p 2 55 829 36 11966 1710
p 2 56 749 115 9748 1492
p 2 26 690 204 5646 1148
p 2 0 620 300 1788 813
p 2 1 723 196 5174 1057
p 2 0 838 82 7038 1263
p 2 0 872 48 6508 1244
p 2 3 860 57 8400 1344
p 2 0 633 287 1967 840
p 2 0 854 66 7970 1307
p 2 48 785 87 9164 1480
p 2 43 851 26 11502 1637
p 2 46 831 43 11110 1623
p 2 0 661 259 1899 855
p 2 72 837 11 12530 1785
p 2 43 799 78 9262 1511
p 2 40 856 24 12592 1701
p 2 48 846 26 11718 1710
p 2 0 711 209 2174 948
p 2 25 869 26 11261 1611
p 2 54 704 162 8433 1422
p 2 56 787 77 9926 1563
p 2 26 829 65 8228 1364
p 2 0 620 300 1835 823
p 2 2 851 67 7499 1301
p 2 0 862 58 7093 1290
p 2 1 867 52 6975 1294
p 2 3 904 13 8061 1323
p 2 0 658 262 1967 855
p 2 0 887 33 6969 1321
p 2 47 869 4 10581 1598
p 2 46 862 12 11709 1660
p 2 48 866 6 10670 1638
p 2 0 780 140 2818 1051
p 2 76 706 138 10234 1584
i 2 920 0 0 51959 4221
p 2 9 911 0 16085 1454
p 2 12 906 2 15047 1450
p 2 0 635 285 2050 804
p 2 11 908 1 10642 1389
p 2 17 902 1 15882 1473
p 2 11 909 0 16665 1473
p 2 10 910 0 15851 1453
p 2 0 755 165 2694 938
p 2 4 916 0 11111 1365
p 2 12 907 1 16406 1457
p 2 2 918 0 16901 1434
p 2 4 915 1 14231 1402
p 2 0 786 134 3167 994
p 2 0 920 0 10170 1326
p 2 0 920 0 15145 1372
p 2 1 918 1 15470 1387
p 2 0 920 0 13881 1369
p 2 0 710 210 2670 888
p 2 1 918 1 11939 1327
p 2 3 917 0 16184 1421
p 2 1 919 0 15939 1408
p 2 1 919 0 14621 1390
p 2 0 722 198 2618 910
p 2 16 904 0 10847 1433
p 2 18 900 2 16328 1482
p 2 0 920 0 15029 1382
p 2 11 909 0 15538 1468
p 2 0 838 82 4083 1105
p 2 14 906 0 14948 1468
p 2 5 915 0 17213 1464
p 2 8 912 0 16650 1477
p 2 13 907 0 15831 1476
p 2 0 687 233 2368 867
p 2 6 914 0 10866 1385
p 2 3 917 0 15337 1430
p 2 7 913 0 16925 1435
p 2 12 908 0 15473 1463
p 2 0 712 208 2585 902
p 2 4 915 1 10743 1373
p 2 0 919 1 15713 1389
p 2 0 920 0 15030 1387
p 2 0 920 0 13069 1364
p 2 0 802 118 3228 1002
p 2 0 920 0 9675 1309
p 2 0 920 0 16199 1399
p 2 2 918 0 15115 1391
p 2 2 918 0 13306 1372
p 2 0 665 255 2304 837
p 2 3 917 0 10916 1332
p 2 5 915 0 15276 1417
p 2 18 902 0 16807 1505
p 2 10 910 0 15113 1450
p 2 0 738 182 2771 940
p 2 3 917 0 10516 1345
p 2 9 911 0 17029 1508
p 2 15 905 0 17761 1519
p 2 6 914 0 15389 1459
p 2 0 830 90 3583 1055
p 2 10 910 0 10497 1420
p 2 11 909 0 17294 1486
p 2 6 914 0 16207 1464
p 2 4 916 0 15809 1448
p 2 0 734 186 2978 946
p 2 9 911 0 12860 1439
p 2 15 905 0 15088 1446
p 2 0 920 0 14464 1411
p 2 0 920 0 12981 1355
p 2 0 726 194 2582 911
p 2 0 920 0 9614 1284
p 2 0 919 1 14738 1374
p 2 0 920 0 15289 1401
p 2 0 920 0 12959 1366
p 2 0 764 156 3064 960
p 2 2 918 0 10456 1318
i 2 920 0 0 21100 3566
p 2 67 814 39 6688 1562
p 2 141 669 110 7817 1694
p 2 0 645 275 1405 804
p 2 79 817 24 13222 1948
p 2 120 781 19 9775 1992
p 2 157 734 29 14309 2310
p 2 84 827 9 11142 2181
p 2 0 747 173 1869 929
p 2 71 810 39 12669 2152
p 2 180 706 34 9710 2192
p 2 176 710 34 12287 2188
p 2 91 789 40 10247 1985
p 2 0 765 155 1947 955
p 2 94 803 23 12154 2117
p 2 112 806 2 10557 2075
p 2 25 840 55 9409 1816
p 2 42 852 26 8052 1836
p 2 0 730 190 1713 925
p 2 71 773 76 11365 1935
p 2 25 834 61 8094 1698
p 2 0 822 98 4299 1094
p 2 1 836 83 8269 1345
p 2 0 668 252 1686 857
p 2 0 809 111 4017 1034
p 2 0 767 153 3819 981
p 2 97 753 70 16370 2215
p 2 0 844 76 5960 1146
p 2 0 678 242 1957 854
p 2 137 725 58 16982 2304
p 2 174 700 46 11018 2004
p 2 122 717 81 16493 2251
p 2 119 771 30 10899 2134
p 2 0 749 171 1773 927
p 2 192 670 58 18618 2639
p 2 68 847 5 10683 2060
p 2 227 640 53 18272 2804
p 2 158 744 18 10825 2182
p 2 0 680 240 1776 881
p 2 122 783 15 15739 2236
p 2 203 685 32 12731 2337
p 2 161 743 16 15049 2431
p 2 84 782 54 10191 2014
p 2 0 786 134 2529 1015
p 2 101 808 11 12003 2143
p 2 180 729 11 14421 2426
p 2 104 808 8 9753 2100
p 2 45 733 142 15315 1921
p 2 0 651 269 1753 892
p 2 0 843 77 6218 1168
p 2 51 795 74 16260 2078
p 2 0 880 40 6698 1279
p 2 41 832 47 16050 2029
p 2 0 716 204 2165 978
p 2 0 869 51 5261 1157
p 2 56 827 37 15836 2052
p 2 0 834 86 4043 1170
p 2 232 668 20 17000 2488
p 2 0 694 226 1998 939
p 2 108 791 21 10009 1934
p 2 186 726 8 17072 2598
p 2 139 757 24 12163 2296
p 2 155 723 42 19377 2745
p 2 0 692 228 1777 886
p 2 105 780 35 10632 2133
p 2 212 679 29 20416 2746
p 2 176 695 49 12144 2133
p 2 201 701 18 20482 2766
p 2 0 681 239 1789 862
p 2 150 752 18 13271 2318
p 2 135 770 15 17406 2490
p 2 35 861 24 11597 2061
p 2 135 766 19 15298 2408
p 2 0 719 201 2009 933
p 2 112 766 42 9889 1949
p 2 10 822 88 11739 1589
p 2 0 855 65 6698 1203
p 2 0 800 120 5638 1083
p 2 0 625 295 1615 785
p 2 0 827 93 11445 1494
p 2 0 756 164 3823 992
p 2 0 825 95 4711 1061
p 2 2 858 60 10639 1524
p 2 0 621 299 1766 817
p 2 189 693 38 10930 1924
p 2 118 742 60 10003 1783
p 2 106 786 28 14401 2108
p 2 156 741 23 11941 2166
p 2 0 759 161 2220 960
p 2 214 686 20 13993 2397
p 2 211 709 0 16245 2449
p 2 152 747 21 9699 2089
p 2 193 717 10 12653 2291
p 2 0 708 212 1993 951
p 2 54 816 50 15520 2082
p 2 72 833 15 9413 1905
p 2 98 760 62 9553 1969
p 2 50 840 30 17199 2262
