# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 734 186 2051 949
p 2 33 853 34 9549 1817
p 2 93 773 54 13490 2134
p 2 41 846 33 8929 1793
p 2 6 856 58 10694 1560
p 2 0 654 266 1884 878
p 2 0 808 112 4902 1082
p 2 133 715 72 17847 2237
p 2 0 794 126 3380 1033
p 2 21 873 26 13999 1852
p 2 0 705 215 2132 965
p 2 0 754 166 3461 1015
p 2 29 821 70 13619 1853
p 2 194 630 96 8790 1940
p 2 81 725 114 8600 1662
p 2 0 630 290 1559 807
p 2 66 765 89 8574 1679
p 2 168 686 66 9895 2070
p 2 192 705 23 13758 2426
p 2 180 698 42 12924 2257
p 2 0 724 196 1884 896
p 2 224 693 3 13026 2436
p 2 303 606 11 12723 2516
p 2 57 856 7 11713 1985
p 2 86 811 23 10746 2012
p 2 0 705 215 1664 881
p 2 160 745 15 12972 2348
p 2 85 831 4 13170 2256
p 2 155 734 31 11347 2202
p 2 1 822 97 6728 1256
p 2 0 693 227 1686 853
p 2 0 782 138 5394 1059
p 2 0 868 52 6997 1184
p 2 0 831 89 4977 1098
p 2 0 886 34 7278 1196
p 2 0 712 208 1942 862
p 2 0 839 81 5137 1118
p 2 0 835 85 6619 1122
p 2 0 795 125 5461 1043
p 2 88 799 33 14549 2056
p 2 0 631 289 1649 827
i 2 920 0 0 22541 3612
p 2 50 825 45 9448 1728
p 2 96 801 23 15315 2156
p 2 133 724 63 10757 2180
p 2 0 717 203 1928 900
p 2 101 794 25 12477 2257
p 2 189 696 35 18344 2599
p 2 248 659 13 12302 2475
p 2 174 711 35 10801 2264
p 2 0 719 201 1827 899
p 2 35 880 5 17135 2208
p 2 96 806 18 10888 2119
p 2 147 756 17 13047 2282
p 2 68 840 12 18044 2426
p 2 0 748 172 2088 996
p 2 212 667 41 10013 2111
p 2 0 837 83 5249 1126
p 2 8 822 90 12833 1668
p 2 0 823 97 6102 1164
p 2 0 697 223 1969 875
p 2 0 802 118 4929 1076
p 2 11 847 62 13844 1710
p 2 0 819 101 4582 1087
p 2 0 774 146 3433 966
p 2 0 678 242 2035 837
p 2 0 782 138 5118 1063
i 2 920 0 0 31853 3857
p 2 4 902 14 7643 1368
p 2 0 824 96 7224 1170
p 2 0 583 337 1617 738
p 2 3 892 25 9111 1323
p 2 8 801 111 8610 1225
p 2 9 890 21 9722 1355
p 2 0 794 126 8015 1152
p 2 0 629 291 1877 805
p 2 0 872 48 9072 1292
p 2 1 820 99 8483 1224
p 2 0 879 41 8763 1283
p 2 0 820 100 8196 1197
p 2 0 647 273 2203 843
p 2 4 847 69 8977 1295
p 2 6 792 122 7999 1193
p 2 5 838 77 9071 1307
p 2 2 741 177 7684 1129
p 2 0 576 344 1788 741
p 2 88 779 53 10546 1631
p 2 87 717 116 9890 1528
p 2 6 892 22 9905 1452
p 2 8 840 72 10069 1402
p 2 0 714 206 2529 933
p 2 12 889 19 9947 1471
p 2 27 814 79 9606 1423
p 2 14 891 15 9880 1475
p 2 81 755 84 9803 1575
p 2 0 710 210 2322 920
p 2 84 805 31 11840 1722
p 2 15 830 75 10195 1406
p 2 10 876 34 11458 1483
p 2 11 837 72 10067 1389
p 2 0 688 232 2186 895
p 2 20 888 12 10935 1474
p 2 31 803 86 10250 1410
p 2 0 878 42 9463 1237
p 2 1 829 90 8954 1199
p 2 0 697 223 2234 886
p 2 4 849 67 9748 1258
p 2 5 814 101 9127 1232
p 2 6 878 36 10000 1309
p 2 4 831 85 9098 1234
p 2 0 691 229 2293 897
p 2 0 884 36 9370 1238
p 2 0 787 133 8230 1133
p 2 84 815 21 12068 1759
p 2 83 722 115 10231 1583
p 2 0 649 271 1875 819
p 2 2 880 38 10399 1418
p 2 5 820 95 10156 1376
p 2 9 893 18 11093 1487
p 2 13 857 50 10458 1463
p 2 0 726 194 2259 936
p 2 19 893 8 11345 1520
p 2 81 757 82 10798 1633
p 2 82 824 14 12348 1731
p 2 0 821 99 9650 1302
p 2 0 679 241 2020 883
p 2 9 889 22 10346 1438
i 2 920 0 0 28525 3828
p 2 0 807 113 5610 1078
p 2 0 730 190 5517 985
p 2 0 508 412 1426 659
p 2 0 760 160 6376 1019
p 2 0 676 244 5859 953
p 2 0 721 199 6406 1011
p 2 0 746 174 7195 1049
p 2 0 590 330 1650 747
p 2 0 788 132 7776 1117
p 2 0 762 158 8432 1106
p 2 0 812 108 9359 1201
p 2 0 791 129 9367 1190
p 2 0 607 313 1858 787
p 2 0 802 118 8824 1153
p 2 0 819 101 8244 1174
p 2 0 806 114 8003 1143
p 2 0 799 121 8706 1165
p 2 0 560 360 1558 714
p 2 0 732 188 7659 1068
p 2 0 711 209 6782 1032
p 2 0 807 113 6108 1093
p 2 0 704 216 6158 1022
p 2 0 547 373 1672 712
p 2 0 810 110 6323 1099
p 2 0 736 184 6121 1022
p 2 0 771 149 7996 1096
p 2 0 791 129 9523 1159
p 2 0 607 313 1846 772
p 2 0 771 149 9137 1155
p 2 0 763 157 8533 1138
p 2 0 802 118 6597 1076
p 2 0 754 166 5831 1008
p 2 0 503 417 1467 657
p 2 0 804 116 7083 1110
p 2 0 707 213 7404 1023
p 2 0 797 123 8747 1160
p 2 0 718 202 7152 1005
p 2 0 551 369 1696 703
p 2 0 700 220 5883 981
p 2 0 774 146 9028 1163
p 2 0 797 123 9333 1216
p 2 0 802 118 9757 1220
p 2 0 616 304 2111 811
p 2 0 766 154 9450 1150
p 2 0 760 160 8093 1113
p 2 0 786 134 6131 1076
p 2 0 687 233 5886 945
p 2 0 499 421 1604 649
p 2 0 784 136 8826 1130
p 2 0 785 135 8443 1143
p 2 16 821 83 9874 1277
p 2 38 762 120 10608 1376
p 2 0 591 329 1790 762
p 2 0 758 162 7837 1070
p 2 120 716 84 9044 1622
p 2 56 770 94 11137 1457
p 2 280 626 14 15497 2419
p 2 0 708 212 2213 958
p 2 261 640 19 13331 2239
p 2 164 737 19 15250 2227
p 2 55 826 39 11950 1905
p 2 71 827 22 15243 2143
p 2 0 663 257 1748 842
p 2 93 798 29 13607 2005
p 2 174 718 28 17399 2313
p 2 102 787 31 12228 1961
i 2 920 0 0 9865 3048
p 2 0 734 186 1260 901
p 2 137 782 1 9200 2434
p 2 43 871 6 9155 2340
p 2 61 858 1 11555 2431
p 2 33 882 5 10195 2405
p 2 0 860 60 1927 1071
p 2 39 875 6 9817 2322
p 2 9 911 0 9170 2214
p 2 9 909 2 9424 2306
p 2 47 872 1 9356 2347
p 2 0 862 58 1902 1151
p 2 86 833 1 11730 2504
p 2 35 876 9 10446 2396
p 2 20 899 1 8988 2314
p 2 15 902 3 8523 2276
p 2 0 872 48 1808 1071
p 2 37 883 0 9333 2328
p 2 22 894 4 9315 2362
p 2 61 859 0 11072 2464
p 2 34 884 2 9608 2440
p 2 0 863 57 1968 1101
p 2 58 860 2 9066 2396
p 2 11 909 0 8565 2290
p 2 9 910 1 8613 2252
p 2 51 867 2 9270 2352
p 2 0 854 66 1875 1122
p 2 79 838 3 12033 2399
p 2 45 874 1 10280 2420
p 2 25 890 5 8979 2289
p 2 30 890 0 9163 2334
p 2 0 874 46 2063 1154
p 2 18 900 2 9328 2303
p 2 50 865 5 9280 2367
p 2 59 859 2 11436 2474
p 2 22 897 1 10130 2396
p 2 0 870 50 1951 1102
p 2 21 896 3 8805 2316
p 2 34 884 2 8553 2338
p 2 36 883 1 8885 2336
p 2 30 889 1 8372 2286
p 2 0 881 39 1998 1156
p 2 73 846 1 11288 2400
p 2 45 875 0 9783 2418
p 2 19 899 2 8843 2375
p 2 77 841 2 11398 2417
p 2 0 842 78 2154 1089
p 2 78 842 0 9794 2417
p 2 40 877 3 8766 2354
p 2 13 907 0 8081 2213
p 2 9 910 1 8317 2204
p 2 0 895 25 1992 1160
p 2 56 863 1 8503 2362
p 2 71 844 5 10494 2436
p 2 41 874 5 10131 2389
p 2 22 897 1 8454 2330
p 2 0 889 31 2107 1262
p 2 36 882 2 8825 2271
p 2 67 850 3 10693 2441
p 2 24 895 1 9326 2394
i 2 920 0 0 2620 2620
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
p 2 0 0 920 157 157
i 2 920 0 0 43761 3945
p 2 0 541 379 1578 683
p 2 0 355 565 734 489
p 2 0 261 659 591 405
p 2 0 532 388 1504 655
p 2 0 317 603 816 439
p 2 0 186 734 427 323
p 2 0 110 810 293 254
p 2 0 187 733 493 321
p 2 0 191 729 509 320
p 2 0 477 443 1160 597
p 2 0 352 568 844 474
p 2 0 416 504 1052 544
p 2 0 209 711 576 348
p 2 0 122 798 352 262
p 2 0 91 829 326 239
p 2 0 322 598 787 449
p 2 0 213 707 533 343
p 2 0 168 752 449 302
p 2 0 181 739 510 323
p 2 0 228 692 612 360
p 2 0 94 826 336 240
p 2 0 64 856 261 212
p 2 0 91 829 317 237
p 2 0 163 757 443 302
p 2 0 436 484 950 569
p 2 0 276 644 635 402
p 2 0 339 581 782 473
p 2 0 227 693 509 364
p 2 0 54 866 240 203
p 2 0 62 858 255 213
p 2 0 182 738 452 315
p 2 0 133 787 413 279
p 2 0 99 821 342 245
p 2 0 84 836 312 232
p 2 0 129 791 423 274
p 2 0 67 853 275 218
p 2 0 37 883 231 191
p 2 0 54 866 233 201
p 2 0 124 796 389 266
p 2 0 373 547 845 509
p 2 0 230 690 548 368
p 2 0 328 592 718 455
p 2 0 136 784 394 284
p 2 0 67 853 270 218
p 2 0 81 839 319 228
p 2 0 130 790 406 277
p 2 0 95 825 331 240
p 2 0 127 793 354 266
p 2 0 94 826 305 239
p 2 0 98 822 331 243
p 2 0 61 859 262 213
p 2 0 25 895 199 179
p 2 0 25 895 197 178
p 2 0 80 840 295 227
p 2 0 373 547 752 498
p 2 0 177 743 449 319
p 2 0 230 690 583 376
p 2 0 178 742 432 317
p 2 0 42 878 218 192
p 2 0 71 849 264 216
p 2 0 110 810 336 254
p 2 0 70 850 270 219
p 2 0 102 818 312 249
p 2 0 66 854 262 216
p 2 0 63 857 269 214
p 2 0 48 872 227 198
p 2 0 34 886 211 186
p 2 0 32 888 205 186
p 2 0 70 850 283 219
p 2 0 348 572 720 478
p 2 0 250 670 524 378
p 2 0 231 689 521 364
p 2 0 96 824 331 246
p 2 0 27 893 543 182
p 2 0 29 891 230 183
p 2 0 77 843 605 231
p 2 0 89 831 348 235
p 2 0 81 839 312 229
p 2 0 50 870 674 208
p 2 0 98 822 383 248
p 2 0 93 827 804 243
p 2 0 238 682 681 376
p 2 0 50 870 278 204
p 2 0 79 841 778 234
p 2 0 116 804 413 264
p 2 0 330 590 1509 464
p 2 0 237 683 627 378
p 2 0 167 753 436 302
p 2 0 70 850 1191 232
p 2 0 66 854 289 217
p 2 1 111 808 1673 280
p 2 0 61 859 338 213
p 2 0 74 846 357 225
p 2 0 69 851 1678 243
p 2 0 49 871 313 205
p 2 3 55 862 1962 242
p 2 0 31 889 289 188
p 2 0 42 878 283 195
p 2 2 74 844 2320 267
p 2 0 102 818 400 251
p 2 4 306 610 3126 508
p 2 0 360 560 861 494
p 2 0 343 577 814 470
p 2 8 331 581 3853 565
p 2 0 765 155 7715 1056
p 2 16 838 66 14895 1355
p 2 0 747 173 3427 951
p 2 0 887 33 10799 1278
p 2 28 883 9 17675 1560
p 2 0 897 23 10153 1270
p 2 70 849 1 15453 1697
p 2 0 784 136 3177 1001
p 2 0 906 14 9890 1330
p 2 194 721 5 20233 2306
p 2 0 903 17 10464 1387
p 2 145 768 7 24234 2324
p 2 0 805 115 4176 1075
p 2 6 910 4 15531 1527
p 2 0 915 5 12848 1409
i 2 920 0 0 19591 3451
p 2 1 866 53 7109 1332
p 2 0 635 285 1413 801
p 2 310 592 18 15225 2679
p 2 243 677 0 18509 2806
p 2 0 918 2 8077 1647
i 2 920 0 0 15365 3269
p 2 0 563 357 946 684
p 2 0 895 25 5073 1246
p 2 262 644 14 18452 2576
p 2 0 910 10 6053 1357
p 2 318 580 22 17453 2754
p 2 0 689 231 1481 864
p 2 221 699 0 18449 2667
p 2 0 914 6 7270 1512
i 2 920 0 0 15239 3252
p 2 0 850 70 7198 1265
p 2 0 660 260 1411 802
p 2 301 563 56 17772 2622
p 2 0 894 26 7365 1373
p 2 249 652 19 14664 2501
p 2 216 703 1 18762 2771
p 2 0 697 223 1875 911
p 2 0 919 1 7003 1518
i 2 920 0 0 14445 3224
p 2 0 867 53 4423 1140
p 2 281 592 47 17506 2509
p 2 0 625 295 1403 850
p 2 1 860 59 6138 1293
i 2 920 0 0 19402 3401
p 2 216 704 0 18467 2709
p 2 2 898 20 7389 1605
p 2 0 724 196 1908 950
i 2 920 0 0 14490 3228
p 2 1 877 42 8015 1321
p 2 312 604 4 17246 2723
p 2 0 900 20 6992 1366
